,market,platform,from,to,transition_probability,weight,group
1,market1,IOS APP,AppStart,AppClose,0.334121279,1,group1
2,market1,IOS APP,AppStart,P19,0.346353277,1,group1
3,market1,IOS APP,AppStart,P4,0.159271023,1,group1
4,market1,IOS APP,AppStart,P3,0.047973517,1,group1
5,market1,IOS APP,AppStart,P2,0.02590754,1,group1
6,market1,IOS APP,AppStart,P15,0.008308924,1,group1
7,market1,IOS APP,AppStart,P23,0.010499219,1,group1
8,market1,IOS APP,AppStart,P20,0.013528295,1,group1
9,market1,IOS APP,AppStart,B2,0.003846821,1,group1
10,market1,IOS APP,AppStart,P14,0.00774886,1,group1
11,market1,IOS APP,AppStart,P1,0.010649095,1,group1
12,market1,IOS APP,AppStart,B3,0.001233192,1,group1
13,market1,IOS APP,AppStart,P10,0.008088054,1,group1
14,market1,IOS APP,AppStart,P21,0.004317485,1,group1
15,market1,IOS APP,AppStart,P18,0.005266701,1,group1
16,market1,IOS APP,AppStart,P16,0.00128315,1,group1
17,market1,IOS APP,AppStart,P9,0.002521601,1,group1
18,market1,IOS APP,AppStart,P8,0.003199987,1,group1
19,market1,IOS APP,AppStart,P22,0.001656526,1,group1
20,market1,IOS APP,AppStart,P11,0.000473293,1,group1
21,market1,IOS APP,AppStart,P24,0.00066261,1,group1
22,market1,IOS APP,AppStart,P6,0.000570581,1,group1
23,market1,IOS APP,AppStart,P12,0.000599505,1,group1
24,market1,IOS APP,AppStart,B1,0.000197205,1,group1
25,market1,IOS APP,AppStart,P7,0.000712569,1,group1
26,market1,IOS APP,AppStart,P17,0.000817745,1,group1
27,market1,IOS APP,AppStart,P5,0.000102547,1,group1
28,market1,IOS APP,AppStart,P13,8.94E-05,1,group1
29,market1,IOS APP,B1,AppClose,0.908333333,0.000631057,group2
30,market1,IOS APP,B1,P16,0.033333333,0.000631057,group2
31,market1,IOS APP,B1,P15,0.004166667,0.000631057,group2
32,market1,IOS APP,B1,P19,0.025,0.000631057,group2
33,market1,IOS APP,B1,P23,0.0125,0.000631057,group2
34,market1,IOS APP,B1,P12,0.004166667,0.000631057,group2
35,market1,IOS APP,B1,P4,0.004166667,0.000631057,group2
36,market1,IOS APP,B1,P1,0.004166667,0.000631057,group2
37,market1,IOS APP,B1,P20,0.004166667,0.000631057,group2
38,market1,IOS APP,P1,AppClose,0.148136499,0.033440788,group3
39,market1,IOS APP,P1,P21,0.345337317,0.033440788,group3
40,market1,IOS APP,P1,P10,0.284242805,0.033440788,group3
